pix64,count,pix64_group
27258,1094,272
27256,808,272
35935,698,359
16713,532,167
10513,499,105
10312,491,103
27259,434,272
10516,432,105
9147,421,91
34534,408,345
9150,352,91
16715,349,167
34535,334,345
10515,320,105
17690,309,176
10512,305,105
21438,301,214
10313,297,103
10306,282,103
4804,268,48
27773,267,277
45984,256,459
27765,250,277
27767,239,277
40809,232,408
27718,226,277
17472,225,174
17237,211,172
9146,209,91
27719,197,277
8195,192,81
10307,186,103
9145,182,91
38973,181,389
27257,165,272
28495,163,284
2155,156,21
8339,152,83
17772,149,177
4801,146,48
34104,146,341
25083,146,250
10378,144,103
27936,144,279
25919,144,259
8196,144,81
18795,142,187
18790,142,187
20657,141,206
17679,141,176
34443,139,344
25981,137,259
16712,132,167
26313,131,263
39077,129,390
10379,129,103
26005,129,260
27245,128,272
27730,127,277
27440,126,274
9151,126,91
36231,125,362
36247,124,362
28430,124,284
46424,124,464
27515,123,275
28221,123,282
35576,122,355
28448,121,284
26189,121,261
10400,120,104
17699,119,176
43262,119,432
22915,118,229
2564,117,25
22972,117,229
46174,116,461
25852,115,258
28149,115,281
49125,114,491
24733,114,247
35390,112,353
40777,112,407
9354,112,93
27938,112,279
10391,111,103
34533,111,345
33692,109,336
17688,108,176
18779,108,187
9168,108,91
24897,106,248
46101,106,461
46169,105,461
17692,105,176
45446,105,454
18683,105,186
33306,105,333
33905,104,339
46491,104,464
39043,104,390
16486,103,164
16702,103,167
38926,102,389
19935,101,199
17767,100,177
17622,99,176
33295,98,332
26316,98,263
17713,98,177
27736,97,277
36258,97,362
26990,97,269
18096,97,180
35473,97,354
27913,97,279
4698,96,46
38868,95,388
33297,95,332
19097,95,190
28045,95,280
28535,94,285
25344,94,253
16714,94,167
43838,94,438
28497,94,284
27714,94,277
34954,93,349
27914,93,279
19036,93,190
8220,93,82
26803,92,268
28086,92,280
23451,92,234
26951,92,269
25682,92,256
26239,92,262
4718,91,47
8338,91,83
25451,90,254
35770,90,357
18791,90,187
10401,90,104
25675,90,256
34793,90,347
34471,89,344
21436,89,214
18968,89,189
4298,89,42
19432,88,194
17222,87,172
24735,87,247
33644,87,336
26125,87,261
33921,87,339
17689,86,176
6337,86,63
46153,86,461
